ailment_description,body_type,remedy_type,langchain_preview,langgraph_preview
Pimples on face with oily skin,Vata,Breathing Exercises,"**""No remedy found.""**","For body type: general and remedy type: Breathing Exercises, Remedy: Breathing through the left nost"
Pimples on face with oily skin,Kapha,Breathing Exercises,"**""No remedy found.""**","For body type: general and remedy type: Breathing Exercises, Remedy: Breathing through the left nost"
Pimples on face with oily skin,General,Dietary/Nutritional Changes,"To address pimples on the face with oily skin, consider the following dietary changes suitable for a","For body type: General and remedy type: Dietary/Nutritional Changes, Remedy: To address pimples on t"
Struggling with sugar addiction and cravings,Vata,Cleansing Procedures,"**""No remedy found.""**","For body type: general and remedy type: overall, Remedy: To effectively handle the problem of sugar "
Struggling with sugar addiction and cravings,Kapha,Dietary/Nutritional Changes,"To address sugar addiction and cravings for someone with a Kapha body type, it is recommended to fol","For body type: Kapha and remedy type: Dietary/Nutritional Changes, Remedy: To reduce kapha, you shou"
Struggling with sugar addiction and cravings,General,Herbal/Ayurvedic medications,"**""No remedy found.""**","For body type: General and remedy type: Herbal/Ayurvedic medications, Remedy: The following herbal r"
Seasonal alergy with sneezing and itchy eyes,Vata,Herbal/Ayurvedic medications,"To soothe vata-type allergies, you can use the following herbal remedy:

- **Herbal Formula**: 
  - ","For body type: Vata and remedy type: Herbal/Ayurvedic medications, Remedy: Use this herbal formula:
"
Seasonal alergy with sneezing and itchy eyes,Kapha,Overall,No remedy found.,"For body type: Kapha and remedy type: Overall, Remedy: Good herbs for spring include ginger, black p"
Seasonal alergy with sneezing and itchy eyes,General,Overall,**No remedy found.**,"For body type: General and remedy type: Overall, Remedy: Good herbs for spring include ginger, black"
"Fatigue, pale skin, suspected anemia",Vata,Cleansing Procedures,"**""No remedy found.""**","For body type: Vata and remedy type: overall, Remedy: For overall remedies related to fatigue and an"
"Fatigue, pale skin, suspected anemia",Kapha,Breathing Exercises,"**""No remedy found.""**","For body type: Kapha and remedy type: overall, Remedy: For overall remedies related to fatigue and s"
"Fatigue, pale skin, suspected anemia",General,Dietary/Nutritional Changes,"For symptoms of fatigue, pale skin, and suspected anemia, the following dietary/nutritional changes ","For body type: General and remedy type: Dietary/Nutritional Changes, Remedy: For fatigue and suspect"
Irritability and bursts of anger lately,Vata,Herbal/Ayurvedic medications,"**""No remedy found.""**","For body type: general and remedy type: overall, Remedy: None"
Irritability and bursts of anger lately,Kapha,Yoga Postures/Exercise,"**""No remedy found.""**","For body type: general and remedy type: overall, Remedy: None"
Irritability and bursts of anger lately,General,Cleansing Procedures,**No remedy found.**,"For body type: General and remedy type: overall, Remedy: None"
"Chest pain on exertion, possible angina",Vata,Yoga Postures/Exercise,"**""No remedy found.""**","For body type: general and remedy type: Yoga Postures/Exercise, Remedy: The following yoga postures "
